Timestamp,What is your primary learning style?,What’s your primary superpower?,What is your current occupation?,What is your level of exposure to adversity?,What sounds like your ideal way to spend your free time?,How diverse is your food palette?,Where do you grow up?,Are you more of an introvert or an extrovert?,What’s your favorite genre for movies/books,How would you describe your fashion style?,Are you more of an analytical or emotional thinker?,If you hear something derogatory towards someone in your group. How do you react?,How much of your day do you plan out beforehand?,How willing are you to take risks in forming new relationships?,How do you typically cope with challenging or adverse situations?,How do you react to comparing yourself to others?,How often do you like or comment on others’ social media?,How likely are you to collaborate with someone different from you?,How often do you give in to peer pressure?,Are you more likely to be motivated by internal factors (satisfaction) or external factors (prizes)?,What best describes your sense of humor?,How do you react when getting praise/compliments in public?,How often do you interact with people who are different from you?,How direct or open are you in your communication?,Which type of organizational environment do you most thrive in?,How do you react to feedback from others?,"In the moment that I disagree with someone’s opinion, I am most likely to",I would describe my primary expression of patience as:,My public speaking skills are:,Participant ID,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/2024 14:49,3,4,4,2,3,4,3,4,2,4,2,3,3,1,2,2,3,3,2,2,4,4,2,3,2,3,3,3,2,3,1
4/7/2024 14:50,1,2,3,4,3,3,2,4,3,5,4,2,3,1,2,1,2,1,2,3,4,4,4,2,4,2,3,3,2,5,2
4/7/2024 14:50,2,2,2,2,4,3,4,2,5,1,2,4,1,3,2,4,3,2,3,2,2,3,3,2,1,1,4,3,2,4,3
4/7/2024 14:51,3,1,3,4,3,2,4,2,3,1,2,2,3,2,4,3,1,3,2,1,2,3,2,2,3,3,2,2,1,1,4
4/7/2024 14:51,1,3,2,2,5,4,2,3,3,3,2,2,3,4,2,2,3,4,3,2,1,3,2,1,2,1,3,2,2,2,5
4/7/2024 14:51,2,3,5,2,4,4,2,2,2,4,2,3,3,2,4,2,1,3,4,2,1,3,4,2,2,3,3,5,1,1,6
4/7/2024 14:52,2,1,4,2,4,2,3,2,2,3,3,2,3,3,3,2,2,2,3,3,2,2,2,3,2,3,1,3,2,2,7
4/7/2024 14:52,2,2,4,2,5,2,4,2,4,3,1,4,3,3,2,2,2,3,4,2,2,4,2,3,4,3,3,3,3,3,8
4/7/2024 14:52,3,1,4,2,3,2,4,3,2,3,4,2,3,2,5,3,2,4,1,2,3,3,3,4,2,3,1,2,3,4,9
4/7/2024 14:53,2,2,3,3,3,3,3,3,3,4,1,4,2,4,2,1,3,3,3,3,2,4,4,4,2,4,2,4,1,5,10
4/7/2024 14:53,3,2,3,3,2,2,3,1,4,3,3,2,3,4,5,4,1,3,2,1,1,1,2,4,3,3,2,5,1,1,11
4/7/2024 14:53,2,2,3,3,4,3,2,4,3,4,1,1,3,2,4,4,3,2,1,3,4,2,4,2,3,1,4,5,2,2,12
4/7/2024 14:54,4,4,3,2,3,2,3,2,3,3,2,2,3,3,4,3,2,3,2,3,2,4,3,4,2,4,2,3,1,3,13
4/7/2024 14:54,4,3,4,4,4,4,3,4,4,4,3,4,3,1,1,1,3,4,4,3,3,4,4,3,3,3,3,2,2,4,14
4/7/2024 14:56,3,4,3,2,4,3,5,2,4,4,3,2,3,3,5,2,3,2,3,2,3,2,4,2,3,4,3,3,3,5,15
4/8/2024 14:56,3,4,4,2,3,4,3,4,2,4,2,3,3,1,2,2,3,3,2,2,4,4,2,3,2,3,3,3,2,3,16
4/9/2024 14:56,1,2,3,4,3,3,2,4,3,5,4,2,3,1,2,1,2,1,2,3,4,4,4,2,4,2,3,3,2,5,17
4/10/2024 14:56,2,2,2,2,4,3,4,2,5,1,2,4,1,3,2,4,3,2,3,2,2,3,3,2,1,1,4,3,2,4,18
4/11/2024 14:56,3,1,3,4,3,2,4,2,3,1,2,2,3,2,4,3,1,3,2,1,2,3,2,2,3,3,2,2,1,1,19
4/12/2024 14:56,1,3,2,2,5,4,2,3,3,3,2,2,3,4,2,2,3,4,3,2,1,3,2,1,2,1,3,2,2,2,20
